UF,municipio,idhm,idhm_educacao,idhm_longevidade,idhm_renda,classe
Rio Grande do Sul,SANTO ANTÔNIO DO PLANALTO,0.759,0.705,0.885,0.701,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTO AUGUSTO,0.739,0.637,0.84,0.753,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTO CRISTO,0.738,0.656,0.82,0.746,Médio Desenvolvimento Humano
Rio Grande do Sul,SANTO EXPEDITO DO SUL,0.732,0.677,0.853,0.679,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO BORJA,0.736,0.643,0.86,0.72,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO DOMINGOS DO SUL,0.763,0.68,0.839,0.78,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO FRANCISCO DE ASSIS,0.675,0.552,0.818,0.681,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO FRANCISCO DE PAULA,0.685,0.534,0.86,0.701,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO GABRIEL,0.699,0.585,0.822,0.711,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO JERÔNIMO,0.696,0.56,0.822,0.734,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO JOÃO DA URTIGA,0.694,0.575,0.828,0.702,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO JOÃO DO POLÊSINE,0.748,0.661,0.847,0.748,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO JORGE,0.732,0.617,0.846,0.75,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO JOSÉ DAS MISSÕES,0.651,0.542,0.782,0.652,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO JOSÉ DO HERVAL,0.717,0.622,0.847,0.701,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO JOSÉ DO HORTÊNCIO,0.707,0.597,0.824,0.717,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO JOSÉ DO INHACORÁ,0.747,0.702,0.822,0.723,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO JOSÉ DO NORTE,0.623,0.461,0.792,0.663,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO JOSÉ DO OURO,0.755,0.669,0.846,0.759,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO JOSÉ DO SUL,0.725,0.59,0.836,0.774,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO JOSÉ DOS AUSENTES,0.663,0.541,0.801,0.674,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO LEOPOLDO,0.739,0.612,0.861,0.766,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO LOURENÇO DO SUL,0.687,0.528,0.849,0.722,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO LUIZ GONZAGA,0.741,0.664,0.855,0.718,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO MARCOS,0.768,0.683,0.855,0.775,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO MARTINHO,0.726,0.628,0.83,0.734,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO MARTINHO DA SERRA,0.652,0.496,0.848,0.659,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO MIGUEL DAS MISSÕES,0.667,0.537,0.821,0.674,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO NICOLAU,0.645,0.523,0.778,0.658,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO PAULO DAS MISSÕES,0.692,0.584,0.825,0.688,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO PEDRO DA SERRA,0.739,0.634,0.851,0.748,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO PEDRO DAS MISSÕES,0.664,0.566,0.804,0.644,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO PEDRO DO BUTIÁ,0.763,0.694,0.843,0.76,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO PEDRO DO SUL,0.709,0.619,0.824,0.698,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO SEBASTIÃO DO CAÍ,0.739,0.646,0.852,0.734,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO SEPÉ,0.708,0.576,0.871,0.708,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO VALENTIM,0.72,0.612,0.82,0.745,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO VALENTIM DO SUL,0.764,0.677,0.848,0.776,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO VALÉRIO DO SUL,0.642,0.48,0.816,0.674,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO VENDELINO,0.754,0.677,0.852,0.743,Médio Desenvolvimento Humano
Rio Grande do Sul,SÃO VICENTE DO SUL,0.685,0.553,0.831,0.698,Médio Desenvolvimento Humano
Rio Grande do Sul,SAPIRANGA,0.711,0.598,0.832,0.722,Médio Desenvolvimento Humano
Rio Grande do Sul,SAPUCAIA DO SUL,0.726,0.624,0.844,0.726,Médio Desenvolvimento Humano
Rio Grande do Sul,SARANDI,0.777,0.705,0.858,0.776,Médio Desenvolvimento Humano
Rio Grande do Sul,SEBERI,0.723,0.62,0.865,0.706,Médio Desenvolvimento Humano
Rio Grande do Sul,SEDE NOVA,0.712,0.543,0.886,0.751,Médio Desenvolvimento Humano
Rio Grande do Sul,SEGREDO,0.659,0.525,0.811,0.673,Médio Desenvolvimento Humano
Rio Grande do Sul,SELBACH,0.777,0.71,0.841,0.785,Médio Desenvolvimento Humano
Rio Grande do Sul,SENADOR SALGADO FILHO,0.693,0.581,0.817,0.701,Médio Desenvolvimento Humano
Rio Grande do Sul,SENTINELA DO SUL,0.671,0.545,0.826,0.671,Médio Desenvolvimento Humano
Rio Grande do Sul,SERAFINA CORRÊA,0.76,0.69,0.843,0.755,Médio Desenvolvimento Humano
Rio Grande do Sul,SÉRIO,0.652,0.471,0.847,0.695,Médio Desenvolvimento Humano
Rio Grande do Sul,SERTÃO,0.751,0.678,0.837,0.746,Médio Desenvolvimento Humano
Rio Grande do Sul,SERTÃO SANTANA,0.689,0.534,0.832,0.737,Médio Desenvolvimento Humano
Rio Grande do Sul,SETE DE SETEMBRO,0.683,0.577,0.81,0.682,Médio Desenvolvimento Humano
Rio Grande do Sul,SEVERIANO DE ALMEIDA,0.752,0.67,0.861,0.738,Médio Desenvolvimento Humano
Rio Grande do Sul,SILVEIRA MARTINS,0.742,0.644,0.852,0.744,Médio Desenvolvimento Humano
Rio Grande do Sul,SINIMBU,0.631,0.456,0.792,0.697,Médio Desenvolvimento Humano
Rio Grande do Sul,SOBRADINHO,0.743,0.647,0.861,0.735,Médio Desenvolvimento Humano
Rio Grande do Sul,SOLEDADE,0.731,0.625,0.861,0.727,Médio Desenvolvimento Humano
Rio Grande do Sul,TABAÍ,0.701,0.595,0.834,0.694,Médio Desenvolvimento Humano
Rio Grande do Sul,TAPEJARA,0.76,0.688,0.837,0.763,Médio Desenvolvimento Humano
Rio Grande do Sul,TAPERA,0.747,0.672,0.835,0.743,Médio Desenvolvimento Humano
Rio Grande do Sul,TAPES,0.695,0.556,0.862,0.699,Médio Desenvolvimento Humano
Rio Grande do Sul,TAQUARA,0.727,0.579,0.88,0.754,Médio Desenvolvimento Humano
Rio Grande do Sul,TAQUARI,0.733,0.629,0.849,0.737,Médio Desenvolvimento Humano
Rio Grande do Sul,TAQUARUÇU DO SUL,0.739,0.633,0.83,0.768,Médio Desenvolvimento Humano
Rio Grande do Sul,TAVARES,0.656,0.492,0.828,0.692,Médio Desenvolvimento Humano
Rio Grande do Sul,TENENTE PORTELA,0.708,0.603,0.83,0.709,Médio Desenvolvimento Humano
Rio Grande do Sul,TERRA DE AREIA,0.689,0.565,0.829,0.699,Médio Desenvolvimento Humano
Rio Grande do Sul,TEUTÔNIA,0.747,0.65,0.855,0.751,Médio Desenvolvimento Humano
Rio Grande do Sul,TIO HUGO,0.742,0.682,0.845,0.709,Médio Desenvolvimento Humano
Rio Grande do Sul,TIRADENTES DO SUL,0.689,0.569,0.815,0.705,Médio Desenvolvimento Humano
Rio Grande do Sul,TOROPI,0.683,0.569,0.822,0.68,Médio Desenvolvimento Humano
Rio Grande do Sul,TORRES,0.762,0.685,0.862,0.75,Médio Desenvolvimento Humano
Rio Grande do Sul,TRAMANDAÍ,0.719,0.606,0.842,0.727,Médio Desenvolvimento Humano
Rio Grande do Sul,TRAVESSEIRO,0.701,0.559,0.839,0.735,Médio Desenvolvimento Humano
Rio Grande do Sul,TRÊS ARROIOS,0.791,0.689,0.851,0.843,Médio Desenvolvimento Humano
Rio Grande do Sul,TRÊS CACHOEIRAS,0.718,0.606,0.847,0.722,Médio Desenvolvimento Humano
Rio Grande do Sul,TRÊS COROAS,0.71,0.584,0.829,0.74,Médio Desenvolvimento Humano
Rio Grande do Sul,TRÊS DE MAIO,0.759,0.694,0.834,0.756,Médio Desenvolvimento Humano
Rio Grande do Sul,TRÊS FORQUILHAS,0.662,0.539,0.813,0.661,Médio Desenvolvimento Humano
Rio Grande do Sul,TRÊS PALMEIRAS,0.703,0.56,0.832,0.747,Médio Desenvolvimento Humano
